x,y
-271.38953,32.034058
-288.37762,45.410324
-343.31238,89.465614
-372.8447,112.701935
-379.18945,117.23828
-383.34525,119.9509
-390.22235,124.315956
-394.61176,126.744736
-398.4651,128.31851
-400.76074,128.63998
-401.9627,128.3984
-402.83716,127.710754
-403.34094,126.52542
-403.36743,123.77964
-402.67505,121.01758
-393.76172,99.14415
-344.9983,-16.510643
-302.00378,-119.38776
-262.58118,-16.20691
-261.138,-11.539658
-258.80444,-3.1270542
-257.81848,2.994728
-257.7791,9.404152
-258.681,14.31563
-259.7722,17.602724
-261.34055,20.88172
-263.43958,24.134836
-266.12274,27.344294
-269.44348,30.492313
-271.38953,32.034058
-271.38953,32.034058
-495.5078,-110.129456
-496.00647,-115.90776
-496.3684,-125.577866
-495.76898,-133.18777
-494.5135,-137.62732
-493.28558,-140.09924
-491.69308,-142.18338
-489.7083,-143.90802
-487.30365,-145.30145
-484.45154,-146.39194
-479.33838,-147.55054
-470.61765,-148.25323
-465.31348,-148.30237
-404.31482,-148.24237
-371.22095,-148.21234
-363.11893,-148.12735
-349.10834,-147.19696
-337.5232,-145.51492
-328.13403,-143.26009
-320.71136,-140.6112
-315.02563,-137.7471
-310.84723,-134.84656
-307.94672,-132.08836
-306.94287,-130.83563
-306.63544,-130.4282
-305.6597,-127.29424
-305.7019,-124.03655
-306.22302,-122.02722
-322.79498,-82.34834
-371.2964,33.277348
-399.05853,98.84328
-406.87427,116.81836
-408.87546,121.04255
-413.15668,127.97592
-417.75146,133.28867
-422.63635,137.20016
-425.19092,138.6543
-426.77045,139.37775
-429.87662,140.3612
-434.33508,141.01381
-439.56537,140.65387
-443.6137,139.62842
-444.98718,139.10413
-447.60764,137.8682
-452.37317,134.81204
-456.59558,131.02524
-460.30527,126.475006
-463.5325,121.12851
-466.30762,114.95296
-468.661,107.91553
-470.623,99.983444
-471.45227,95.632324
-495.5078,-110.129456
-495.5078,-110.129456
-133.38513,143.65332
-136.74258,143.6009
-143.17218,142.94484
-149.21983,141.57846
-154.84146,139.44751
-159.993,136.49774
-164.63042,132.67493
-168.70966,127.9248
-172.18666,122.193115
-173.65771,118.89795
-286.6167,-153.3714
-404.31482,-153.3714
-537.45,-153.34143
-581.34186,-29.004517
-592.4332,2.1265678
-607.4979,44.71395
-614.7258,63.333687
-618.4972,71.19351
-620.979,74.84202
-622.5713,76.4586
-624.1617,77.4589
-625.7981,77.920334
-626.65344,77.95557
-627.54486,77.92166
-629.2355,77.47484
-630.86914,76.50116
-632.50525,74.92059
-635.0751,71.337585
-639.0753,63.574593
-647.02527,45.08056
-664.36017,2.5029907
-677.444,-28.754639
-690.8152,-60.10752
-718.3501,-122.244705
-731.9838,-153.34143
-844.5929,-153.34143
-854.86096,-148.23236
-822.9969,-148.23236
-814.2959,-148.13777
-800.10913,-147.04626
-791.85596,-145.53442
-787.2663,-144.25174
-783.3981,-142.74521
-780.1947,-141.02576
-777.59973,-139.10425
-775.5565,-136.99158
-774.00867,-134.69864
-772.8994,-132.23633
-771.89746,-128.26694
-771.6328,-122.45691
-771.8264,-119.34772
-789.3931,91.433105
-789.931,97.750824
-791.0939,109.07066
-792.7551,118.8029
-794.63086,125.00415
-796.2457,128.67035
-798.23157,131.93411
-800.6429,134.7942
-803.53455,137.24942
-806.9613,139.2985
-810.9778,140.94022
-815.6389,142.17337
-820.99927,142.99667
-827.11365,143.40895
-830.5055,143.44336
-849.73193,143.56335
-860.0,148.68237
-696.16046,148.68237
-706.4286,143.56335
-738.22266,143.44336
-746.0412,143.4336
-759.00507,143.03612
-766.6931,142.0968
-771.0194,141.07437
-774.6997,139.63718
-777.77026,137.71518
-780.26733,135.23831
-782.22705,132.13646
-783.6859,128.33957
-784.68,123.777534
-785.2457,118.38031
-785.41925,112.07779
-785.0611,100.90836
-784.3641,91.85303
-773.0862,-48.460938
-770.92096,-73.261314
-767.92944,-104.820114
-766.0509,-117.04636
-764.67456,-121.64077
-763.0232,-123.97143
-760.93964,-124.770615
-759.6587,-124.8067
-758.9652,-124.78784
-757.63354,-124.382385
-756.2111,-123.2133
-754.5236,-120.922424
-751.20166,-114.85137
-744.1439,-99.24068
-726.0354,-56.33132
-678.35876,57.68869
-639.85095,148.68237
-618.0122,88.22955
-582.42847,-12.049755
-562.4016,-67.56016
-551.87,-95.1982
-545.63025,-110.003204
-542.1735,-117.233734
-539.3189,-122.12543
-537.5917,-124.139435
-536.6156,-124.76427
-536.19025,-124.81671
-535.2034,-124.772736
-533.49634,-123.78749
-531.9622,-120.90193
-530.4375,-115.20099
-527.86035,-100.00694
-522.9062,-60.732056
-519.2734,-29.84436
-505.00604,98.141846
-504.6624,101.50901
-504.45367,107.716446
-504.79578,113.31648
-505.66302,118.3368
-507.02966,122.805016
-508.86987,126.74881
-511.1579,130.19583
-513.868,133.1737
-516.97424,135.7101
-520.45105,137.83267
-524.27246,139.56906
-528.41296,140.94693
-535.1333,142.43817
-545.0183,143.37454
-550.3076,143.44336
-573.29333,143.53333
-583.6314,148.67236
-322.46997,148.67236
-332.72815,143.56335
-380.85913,143.56335
-384.22473,143.52805
-389.8709,143.05417
-393.97144,142.00601
-395.8067,140.75917
-396.44418,139.71024
-396.54312,138.46126
-396.0696,136.99966
-394.29428,134.4117
-389.5071,130.06227
-381.82172,124.636505
-376.66992,121.4375
-374.02502,119.66618
-363.648,111.77788
-340.49103,93.436745
-303.8416,63.922203
-274.7817,40.644634
-268.87,36.223267
-263.39166,32.568954
-257.11703,29.091015
-253.72256,27.90202
-250.85153,27.744549
-248.3616,28.677654
-246.11038,30.760387
-243.95552,34.0518
-242.86487,36.223267
-236.59944,53.34448
-226.15854,84.504486
-218.68616,109.690445
-215.45859,122.81376
-214.42859,128.55621
-214.34009,130.22583
-214.42531,132.3491
-215.44055,135.8516
-217.45627,138.55179
-220.4577,140.55035
-224.43011,141.9479
-229.35869,142.8451
-238.39723,143.50398
-245.80432,143.55334
-281.5476,143.55334
-291.76575,148.69238
-106.54016,148.69238
-112.5791,143.65332
-133.38513,143.65332
-133.38513,143.65332
691.00146,32.034058
